,id,age,gender,race,city,state,Year
356,2620,24.0,Male,White,Hesperia,CA,2017
357,2621,17.0,Male,White,Centennial,CO,2017
358,2633,27.0,Male,Hispanic,Las Vegas,NV,2017
359,2623,51.0,Male,White,Yulee,FL,2017
360,2624,29.0,Male,Black,Abbeville,AL,2017
361,2626,34.0,Male,Black,Petal,MS,2017
362,2627,18.0,Male,Asian,Tulsa,OK,2017
363,2628,17.0,Male,Black,Chicago,IL,2017
364,2634,55.0,Male,Hispanic,Laredo,TX,2017
365,2625,44.0,Male,White,Avondale,AZ,2017
366,2622,27.0,Male,White,Callahan,FL,2017
367,2636,66.0,Male,White,Campo,CA,2017
368,2632,45.0,Male,White,Bardstown,KY,2017
369,2635,47.0,Male,Black,Miami,FL,2017
370,2637,34.0,Male,White,Lakes Wales,FL,2017
371,2638,37.0,Male,Black,Gonzales County,TX,2017
372,2640,54.0,Male,White,Orrington,ME,2017
373,2639,21.0,Male,Hispanic,Fresno,CA,2017
374,2642,21.0,Male,White,St. Louis,MO,2017
375,2644,35.0,Male,White,Dundalk,MD,2017
376,2645,75.0,Male,White,Hudson,NC,2017
377,2646,33.0,Female,White,Long Beach,CA,2017
378,2647,45.0,Male,Hispanic,Bakersfield,CA,2017
379,2649,48.0,Male,White,Loveland,CO,2017
380,2650,58.0,Male,White,Roland,OK,2017
381,2652,44.0,Male,Hispanic,Lyons,IL,2017
382,2653,82.0,Male,White,Miami,FL,2017
383,2654,25.0,Male,Other,Auburn,WA,2017
384,2655,53.0,Male,White,North English,IA,2017
385,2660,60.0,Male,White,Abilene,TX,2017
386,2661,19.0,Male,Black,Milwaukee,WI,2017
387,2658,63.0,Male,Hispanic,Plano,TX,2017
388,2659,50.0,Male,White,Trosper,KY,2017
389,2663,35.0,Male,White,Cade,LA,2017
390,2657,24.0,Male,White,Jerseyville,IL,2017
391,2662,36.0,Male,White,Hampton,NH,2017
392,2664,35.0,Male,Black,Baton Rouge,LA,2017
393,2665,33.0,Male,Black,St Louis,MO,2017
394,2667,66.0,Male,White,Alexandria,VA,2017
395,2668,54.0,Male,White,Somerville,TN,2017
396,2671,40.0,Male,White,Newton,NH,2017
397,2669,41.0,Male,White,Water Valley,MS,2017
398,2670,30.0,Male,Hispanic,Rialto,CA,2017
399,2676,32.0,Male,Hispanic,Madera,CA,2017
400,2677,24.0,Female,White,Water Valley,MS,2017
401,2678,37.0,Male,White,Antioch,CA,2017
402,2673,28.0,Female,Hispanic,Montebello,CA,2017
403,2674,48.0,Male,White,Rapid City,SD,2017
404,2672,30.0,Female,Black,Seattle,WA,2017
405,2675,64.0,Male,White,Waukesha,WI,2017
406,2680,21.0,Male,Native,Fairbanks,AK,2017
407,2681,28.0,Male,White,Dallas,TX,2017
408,2684,36.0,Male,Hispanic,South Gate,CA,2017
409,2685,40.0,Male,White,Franklin,TN,2017
410,2686,32.0,Male,White,St. Clair Township,OH,2017
411,2687,50.0,Male,White,Lehigh,KS,2017
