#,Country,City,Industry,Company
391,USA,Richmond VA,Mechanical engineering company,Alfa Laval Inc.
392,USA,,Mechanical engineering company?,
393,USA,,Media company?,
394,USA,Philadelphia PA,Medical association,American Board of Internal Medicine (ABIM)
395,USA,Dallas TX,Medical center,UT Southwestern Medical Center
396,USA,,Medical college?,
397,USA,,Medical equipment supplier,
398,USA,,Medical school?,
399,USA,Roswell NM,Military school?,New Mexico Military Institute (NMMI)
400,USA,,Mining company,
401,USA,Baton Rouge LA,Motor vehicle authority,Louisiana’s Office of Motor Vehicles (OMV)
402,USA,Morrisville NC,Network technology provider,Extreme Networks
403,USA,,Newspaper?,
404,USA,New York City NY,Nonprofit organization,American Civil Liberties Union Foundation (ACLUF)
405,USA,Houston TX,Oil,Schlumberger / SLB
406,USA,,Oil and gas producer?,
407,USA,Wilmington DE,Online game provider,TSG Interactive US Services Limited / PokerStars
408,USA,,Payment provider?,
409,USA,,Payment provider?,
410,USA,Baltimore MD,Pension Fund,Maryland State Retirement Agency (SRA) / Optional Retirement Program
411,USA,Atlanta GA,Pension Fund,Teachers Retirement System of Georgia
412,USA,New York City NY,Pension Fund,"Teachers' Retirement System of the City of New York  (TRS, TRSNYC)"
413,USA,New York City NY,Pharmaceutical company,Bristol-Myers Squibb
414,USA,Camp Hill PA,Pharmacy chain,Rite Aid
415,USA,Redwood City CA,Photo service provider,Shutterfly
416,USA,,Physicians Association?,
417,USA,,Physicians Association?,
418,USA,Carlsbad NM,Radioactive waste repository,Waste Isolation Pilot Plant (WIPP)
419,USA,Norwalk CT,Reassurance company,Wilton Reassurance Company
420,USA,Wilton CT,Reassurance company,Wilton Reassurance Life Company of New York
421,USA,Lewisville NC,Receivables management company,EMS Management & Consultants
422,USA,,Receivables management company?,
423,USA,,Receivables management company?,
424,USA,,Research company?,
425,USA,Rockville MD,Research Service Provider,
426,USA,,Restaurant chain?,
427,USA,Framingham MA,Retail chain,TJX
428,USA,,Retail chain?,
429,USA,,Retail chain?,
430,USA,,Retail chain?,
431,USA,New York City NY,Retirement fund,Teachers Insurance and Annuity Association of America (TIAA)
432,USA,Sacramento CA,Retirement plan,California Public Employees' Retirement System CalPERS
433,USA,Warwick RI,Retirement plan,Employees' Retirement System of Rhode Island
434,USA,West Sacramento CA,Retirement system,California State Teachers Retirement System (CalSTRS)
435,USA,Nashville TN,Retirement system,Tennessee Consolidated Retirement System
436,USA,New York City NY,School district,New York City Public Schools
437,USA,Irving TX,Service provider,Alliance-One Services
438,USA,Baltimore MD,Service provider for financial companies,T. Rowe Price Retirement Plan Services
439,USA,Houston TX,Service provider for financial companies,VALIC Retirement Services Company (VRSCO) / Corebridge
440,USA,Lincoln NE,Service provider for insurances,Transactions Applications Group (TAG)
441,USA,,Service provider for the healthcare sector?,
442,USA,,Service provider?,
443,USA,,Service provider?,
444,USA,,Service provider?,
445,USA,,Service provider?,
446,USA,,Service provider?,
447,USA,,Service provider?,
448,USA,,Service provider?,
449,USA,,Service provider?,
450,USA,,Shipping company,
451,USA,Baltimore MD,Social services,Maryland Department of Human Services
452,USA,,Software company,
453,USA,Lincolnshire IL,Software company,Alight
454,USA,Minneapolis MN,Software company,Datasite
455,USA,Costa Mesa CA,Software company,Envision Financial Systems
456,USA,Jacksonville FL,Software company,Fidelity National Information Services (FIS Global)
457,USA,Tempe AZ,Software company,Gen Digital / Norton LifeLock
458,USA,Oklahoma City OK,Software company,Paycom Software
459,USA,Wilmington MA,Software company,Sovos Compliance
460,USA,Chicago IL,Software company,Vitality Group
461,USA,Tampa FL,Software company,Willis Towers Watson US / Acclaris
462,USA,,Software company?,
463,USA,,Software company?,
464,USA,,Software company?,
465,USA,,Software company?,
466,USA,,Software company?,
467,USA,,Software company?,
468,USA,,Software company?,
469,USA,,Software company?,
470,USA,,Software company?,
471,USA,,Software company?,
472,USA,,Software company?,
473,USA,,Software company?,
474,USA,Jefferson City MO,State government,State of Missouri
475,USA,Charlotte NC,Steel producer,Nucor
476,USA,,Student registry,National Student Clearinghouse
477,USA,,Technology,Halma
478,USA,St. Louis MO,Technology company,Emerson Electric Co.
479,USA,Morristown NJ,Technology company,Honeywell
480,USA,,Technology company?,
481,USA,,Technology company?,
482,USA,Hanover MD,Telecommunications provider,Ciena
483,USA,,Temporary employment agency?,
484,USA,,Timesharing company?,
485,USA,,Translation company?,
486,USA,,Travel Management Company?,
487,USA,,TV station?,
488,USA,Abilene TX,University,Abilene Christian University (ACU)
489,USA,Tempe AZ,University,Arizona State University
490,USA,Russellville AR,University,Arkansas Tech University
491,USA,Minneapolis MN,University,Augsburg University
492,USA,Boise ID,University,Boise State University
493,USA,Boston MA,University,Boston University
494,USA,Cedarville OH,University,Cedarville University
495,USA,Orange CA,University,Chapman University
496,USA,Clemson SC,University,Clemson University
497,USA,Fort Collins CO,University,Colorado State University
498,USA,Dickinson ND,University,Dickinson State University (DSU)
499,USA,Des Moines IA,University,Drake University
500,USA,Saratoga Springs NY,University,Empire State University
501,USA,Erie PA,University,Gannon University
502,USA,University Park IL,University,Governors State University
503,USA,Des Moines IA,University,Grand View University
504,USA,Milwaukee WI,University,Herzing University
505,USA,Pocatello ID,University,Idaho State University
506,USA,Terre Haute IN,University,Indiana State University
507,USA,Bloomington IN,University,Indiana University
508,USA,Baltimore MD,University,Johns Hopkins University
509,USA,Chicago IL,University,Loyola University Chicago
510,USA,New York City NY,University,Pace University
511,USA,Troy NY,University,Rensselaer Polytechnic Institute (RPI)
512,USA,Honolulu HI,University,Research Corporation of the University of Hawaiʻi
513,USA,Kansas City MO,University,Rockhurst University?
514,USA,New Brunswick NJ,University,Rutgers University
515,USA,Carbondale IL,University,Southern Illinois University
516,USA,Cedar City UT,University,Southern Utah University
