Country,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Critical,Tot Cases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop
",Population,Continent,1 Case Every X ppl,1 Death Every X ppl,1 Test Every X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
Hong Kong,12003,6,212,0,11721,0,70,0,1587,28.0,21390075,2828144,7563290,Asia,630,35676,0,0.8,0,9
Aruba,12000,0,111,0,11259,0,630,14,111877,1035.0,177885,1658431,107261,North America,9,966,1,0.0,0,5874
Djibouti,11656,1,156,0,11495,4,5,0,11614,155.0,193654,192951,1003642,Africa,86,6434,5,1.0,0,5
Timor-Leste,11225,80,26,0,10039,14,1160,0,8341,19.0,95473,70944,1345757,Asia,120,51760,14,59.0,0,862
South Sudan,11081,0,120,0,10514,0,447,0,977,11.0,174045,15352,11336692,Africa,1023,94472,65,0.0,0,39
Nicaragua,9853,0,196,0,4225,0,5432,0,1468,29.0,0,0,6710412,North America,681,34237,0,0.0,0,809
Channel Islands,9507,0,90,0,8322,0,1095,0,54137,512.0,730380,4159103,175610,Europe,18,1951,0,0.0,0,6235
Equatorial Guinea,8928,0,123,0,8709,0,96,1,6145,85.0,178697,122989,1452953,Africa,163,11813,8,0.0,0,66
Benin,8608,0,110,0,8136,0,362,5,690,9.0,604310,48469,12467980,Africa,1448,113345,21,0.0,0,29
Iceland,8508,155,30,0,7087,94,1391,18,24757,87.0,880265,2561456,343658,Europe,40,11455,0,451.0,0,4048
Gambia,8392,0,233,0,7310,0,849,3,3370,94.0,91290,36657,2490353,Africa,297,10688,27,0.0,0,341
Burundi,7518,0,38,0,773,0,6707,0,612,3.0,345742,28166,12274979,Africa,1633,323026,36,0.0,0,546
Laos,7511,206,7,0,3804,0,3700,0,1016,0.9,316934,42884,7390503,Asia,984,1055786,23,28.0,0,501
CAR,7151,0,98,0,6859,0,194,2,1453,20.0,54814,11138,4921132,Africa,688,50216,90,0.0,0,39
Yemen,7096,0,1380,0,4251,0,1465,23,232,45.0,165058,5405,30539913,Asia,4304,22130,185,0.0,0,48
Eritrea,6568,0,35,0,6475,0,58,0,1825,10.0,23693,6582,3599867,Africa,548,102853,152,0.0,0,16
Sierra Leone,6296,0,120,0,4287,0,1889,0,772,15.0,160358,19668,8153361,Africa,1295,67945,51,0.0,0,232
Saint Lucia,5671,0,89,0,5398,0,184,2,30730,482.0,60075,325534,184543,North America,33,2074,3,0.0,0,997
Niger,5663,0,196,0,5351,0,116,0,225,8.0,131415,5224,25155801,Africa,4442,128346,191,0.0,0,5
Liberia,5459,0,148,0,2715,0,2596,2,1052,29.0,128246,24725,5186835,Africa,950,35046,40,0.0,0,500
San Marino,5147,0,90,0,5009,0,48,0,151342,2646.0,71492,2102149,34009,Europe,7,378,0,0.0,0,1411
Isle of Man,5145,0,30,0,4019,0,1096,1,60159,351.0,83753,979292,85524,Europe,17,2851,1,0.0,0,12815
Gibraltar,5056,0,95,0,4670,0,291,16,150119,2821.0,314480,9337292,33680,Europe,7,355,0,0.0,0,8640
Chad,4974,0,174,0,4796,0,4,0,294,10.0,132879,7845,16937334,Africa,3405,97341,127,0.0,0,0.2
Guinea-Bissau,4629,0,79,0,4027,0,523,4,2293,39.0,82445,40844,2018535,Africa,436,25551,24,0.0,0,259
Mauritius,4493,0,20,0,1854,0,2619,0,3526,16.0,358675,281519,1274071,Africa,284,63704,4,0.0,0,2056
Barbados,4433,0,48,0,4251,0,134,0,15405,167.0,222797,774249,287759,North America,65,5995,1,0.0,0,466
Comoros,4029,0,147,0,3873,0,9,0,4528,165.0,0,0,889737,Africa,221,6053,0,0.0,0,10
Liechtenstein,3092,1,59,0,3018,7,15,1,80843,1543.0,49126,1284441,38247,Europe,12,648,1,26.0,0,392
Monaco,2940,0,33,0,2759,0,148,3,74346,834.0,54960,1389809,39545,Europe,13,1198,1,0.0,0,3743
New Zealand,2880,1,26,0,2824,0,30,0,576,5.0,2507176,501225,5002100,Australia/Oceania,1737,192388,2,0.2,0,6
Sint Maarten,2848,0,34,0,2682,0,132,2,65613,783.0,37841,871792,43406,North America,15,1277,1,0.0,0,3041
Bermuda,2589,0,33,0,2503,0,53,0,41740,532.0,394167,6354765,62027,North America,24,1880,0,0.0,0,854
Saint Martin,2579,0,38,0,1399,0,1142,7,65485,965.0,46787,1188000,39383,North America,15,1036,1,0.0,0,28997
Bhutan,2540,0,2,0,2418,0,120,0,3253,3.0,798573,1022677,780865,Asia,307,390433,1,0.0,0,154
British Virgin Islands,2500,0,31,0,1914,0,555,27,82102,1018.0,73138,2401905,30450,North America,12,982,0,0.0,0,18227
Turks and Caicos,2486,0,18,0,2433,0,35,0,63278,458.0,94789,2412732,39287,North America,16,2183,0,0.0,0,891
Sao Tome and Principe,2463,0,37,0,2365,0,61,0,11016,165.0,14270,63823,223586,Africa,91,6043,16,0.0,0,273
St. Vincent Grenadines,2298,0,12,0,2233,0,53,2,20642,108.0,61614,553466,111324,North America,48,9277,2,0.0,0,476
